timestamp,open,high,low,close,volume
2025-01-07 11:00:00,226.5200,226.6900,225.3500,225.6800,338713
2025-01-07 10:00:00,226.3200,226.5200,224.3692,226.4500,360479
2025-01-07 09:00:00,223.0600,226.7110,223.0000,226.4300,367079
2025-01-07 08:00:00,223.0800,224.0988,221.8800,223.0700,2205
2025-01-07 07:00:00,223.0000,223.0900,222.7400,222.8100,737
2025-01-07 06:00:00,222.9600,223.1100,222.7200,222.8700,334
2025-01-07 05:00:00,222.6100,223.1500,222.5800,222.7000,129
2025-01-07 04:00:00,223.0400,223.8900,222.6500,223.2100,679
2025-01-06 19:00:00,222.6700,223.0000,222.6700,222.7400,544233
2025-01-06 18:00:00,223.0000,223.0000,222.6700,222.8200,543970
2025-01-06 17:00:00,223.1200,223.1200,222.6700,223.0000,176
2025-01-06 16:00:00,222.8000,224.1400,221.0000,223.4000,1796727
2025-01-06 15:00:00,222.4800,222.8990,221.8600,222.7900,507631
2025-01-06 14:00:00,222.6700,222.8900,222.0600,222.4700,213316
2025-01-06 13:00:00,222.8200,223.2000,222.3250,222.6400,190575
2025-01-06 12:00:00,223.7600,224.1400,222.6600,222.8200,215952
2025-01-06 11:00:00,223.7150,223.8600,222.8800,223.8000,263289
2025-01-06 10:00:00,223.1300,224.3500,223.0700,223.7150,363864
2025-01-06 09:00:00,223.2200,223.5000,220.7500,223.1400,363708
2025-01-06 08:00:00,223.7700,224.8000,222.4800,223.3900,5895
2025-01-06 07:00:00,223.8000,224.4000,223.1400,223.2000,8413
2025-01-06 06:00:00,223.0700,224.0600,222.9000,223.9900,1429
2025-01-06 05:00:00,223.3000,223.4800,222.9100,223.2700,1392
2025-01-06 04:00:00,222.6800,224.1500,222.6800,223.3000,1563
2025-01-03 19:00:00,222.6500,222.9800,222.4000,222.9000,415997
2025-01-03 18:00:00,222.8600,222.9800,222.6500,222.6800,415779
2025-01-03 17:00:00,222.8000,222.9900,222.4600,222.9800,444
2025-01-03 16:00:00,222.6200,223.2300,220.9000,222.8000,1828839
2025-01-03 15:00:00,222.3600,222.7800,221.8950,222.6150,422810
2025-01-03 14:00:00,222.0400,222.5000,221.8598,222.4000,196893
2025-01-03 13:00:00,221.4300,222.2400,221.0400,222.0400,194314
2025-01-03 12:00:00,221.8300,222.1450,221.2400,221.5536,252745
2025-01-03 11:00:00,223.4500,223.6400,221.7300,221.7300,259855
2025-01-03 10:00:00,222.3400,223.6600,221.8200,223.4914,263165
2025-01-03 09:00:00,220.8600,223.4900,220.4100,222.2600,260903
2025-01-03 08:00:00,220.2700,221.0000,218.8600,220.8600,1017072
2025-01-03 07:00:00,220.1400,220.2800,219.7100,220.1800,1850
2025-01-03 06:00:00,220.4200,220.4200,219.9400,220.1200,738
2025-01-03 05:00:00,220.3300,220.4500,220.3300,220.4400,600
2025-01-03 04:00:00,219.3600,220.8900,219.3600,220.4400,1149
2025-01-02 19:00:00,219.9400,220.2000,218.5500,219.2000,425792
2025-01-02 18:00:00,220.0400,220.0500,218.7000,218.7000,420814
2025-01-02 17:00:00,220.3000,220.3000,219.5000,220.0100,51556
2025-01-02 16:00:00,220.0400,220.4700,218.0715,220.2900,1450754
