"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.09.2024","5.528,93","5.623,89","5.623,89","5.504,33","","-2,12%"
"30.08.2024","5.648,40","5.612,74","5.651,37","5.581,79","","1,01%"
"29.08.2024","5.591,96","5.607,30","5.646,95","5.583,71","","0,00%"
"28.08.2024","5.592,18","5.624,51","5.627,03","5.560,95","","-0,60%"
"27.08.2024","5.625,80","5.602,89","5.631,18","5.593,48","","0,16%"
"26.08.2024","5.616,84","5.639,66","5.651,62","5.602,34","","-0,32%"
"23.08.2024","5.634,61","5.602,49","5.641,82","5.585,16","","1,15%"
"22.08.2024","5.570,64","5.637,77","5.643,22","5.560,95","","-0,89%"
"21.08.2024","5.620,85","5.603,09","5.632,68","5.591,57","","0,42%"
"20.08.2024","5.597,12","5.602,88","5.620,51","5.585,50","","-0,20%"
"19.08.2024","5.608,25","5.557,23","5.608,30","5.550,74","","0,97%"
"16.08.2024","5.554,25","5.530,50","5.561,98","5.525,17","","0,20%"
"15.08.2024","5.543,22","5.501,13","5.546,23","5.501,13","","1,61%"
"14.08.2024","5.455,21","5.442,36","5.463,22","5.415,91","","0,38%"
"13.08.2024","5.434,43","5.376,98","5.436,50","5.376,98","","1,68%"
"12.08.2024","5.344,39","5.351,88","5.371,20","5.324,37","","0,00%"
"09.08.2024","5.344,16","5.314,66","5.358,67","5.300,84","","0,47%"
"08.08.2024","5.319,31","5.252,57","5.328,03","5.233,85","","2,30%"
"07.08.2024","5.199,50","5.293,13","5.330,64","5.195,54","","-0,77%"
"06.08.2024","5.240,03","5.206,42","5.312,34","5.193,56","","1,04%"
"05.08.2024","5.186,33","5.151,14","5.250,89","5.119,26","","-3,00%"
"02.08.2024","5.346,56","5.376,63","5.383,89","5.302,03","","-1,84%"
"01.08.2024","5.446,68","5.537,84","5.566,16","5.410,42","","-1,37%"
"31.07.2024","5.522,30","5.505,59","5.551,51","5.493,75","","1,58%"
"30.07.2024","5.436,44","5.478,73","5.489,46","5.401,70","","-0,50%"
"29.07.2024","5.463,54","5.476,55","5.487,74","5.444,44","","0,08%"
"26.07.2024","5.459,10","5.433,67","5.488,32","5.430,70","","1,11%"
"25.07.2024","5.399,22","5.428,70","5.491,59","5.390,95","","-0,51%"
"24.07.2024","5.427,13","5.505,84","5.508,04","5.419,98","","-2,31%"
"23.07.2024","5.555,74","5.565,30","5.585,34","5.550,90","","-0,16%"
"22.07.2024","5.564,41","5.544,54","5.570,36","5.529,04","","1,08%"
"19.07.2024","5.505,00","5.543,37","5.557,50","5.497,04","","-0,71%"
"18.07.2024","5.544,59","5.608,56","5.614,05","5.522,81","","-0,78%"
"17.07.2024","5.588,27","5.610,07","5.622,49","5.584,81","","-1,39%"
"16.07.2024","5.667,20","5.644,09","5.669,67","5.639,02","","0,64%"
"15.07.2024","5.631,22","5.638,16","5.666,94","5.614,75","","0,28%"
"12.07.2024","5.615,35","5.590,76","5.655,56","5.590,44","","0,55%"
"11.07.2024","5.584,54","5.635,21","5.642,45","5.576,53","","-0,88%"
"10.07.2024","5.633,91","5.591,26","5.635,39","5.586,44","","1,02%"
"09.07.2024","5.576,98","5.584,24","5.590,75","5.574,57","","0,07%"
"08.07.2024","5.572,85","5.572,75","5.583,11","5.562,51","","0,10%"
"05.07.2024","5.567,19","5.537,91","5.570,33","5.531,63","","0,54%"
"03.07.2024","5.537,02","5.507,44","5.539,27","5.507,42","","0,51%"
"02.07.2024","5.509,01","5.461,84","5.509,69","5.458,43","","0,62%"
"01.07.2024","5.475,09","5.471,08","5.479,55","5.446,53","","0,27%"
"28.06.2024","5.460,48","5.488,48","5.523,64","5.451,12","","-0,41%"
"27.06.2024","5.482,87","5.473,59","5.490,81","5.467,54","","0,09%"
"26.06.2024","5.477,90","5.460,71","5.483,14","5.451,87","","0,16%"
"25.06.2024","5.469,30","5.460,73","5.472,88","5.446,56","","0,39%"
